PID,Product,Category,Cost_per_box,GeoID,Geo,Boxes,TotalCost,Reveneu,Profit,SaleDate,Customers,SPID,Salesperson,Team
P09,Orange Choco,Bars,7.14,G2,USA,25,178.5,217,38.5,2/26/2021 0:00,147,SP21,Mallorie Waber,unkown
P19,70% Dark Bites,Bites,4.97,G1,India,693,3444.21,7616,4171.79,2/26/2021 0:00,16,SP15,Kelci Walkden,Yummies
P16,Organic Choco Syrup,Other,1.47,G6,UK,518,761.46,11900,11138.54,2/26/2021 0:00,256,SP12,Karlen McCaffrey,Yummies
P19,70% Dark Bites,Bites,4.97,G4,New Zealand,1044,5188.68,10437,5248.32,2/26/2021 0:00,350,SP25,Camilla Castle,Delish
P12,Fruit & Nut Bars,Bars,1.58,G1,India,335,529.3,5691,5161.7,3/1/2021 0:00,216,SP18,Madelene Upcott,Jucies
P04,Raspberry Choco,Bars,4.09,G5,Australia,300,1227,5397,4170,3/1/2021 0:00,66,SP22,Jehu Rudeforth,unkown
P16,Organic Choco Syrup,Other,1.47,G2,USA,143,210.21,3276,3065.79,3/1/2021 0:00,61,SP08,Ches Bonnell,unkown
P07,Drinking Coco,Other,1.62,G4,New Zealand,187,302.94,4102,3799.06,3/1/2021 0:00,14,SP09,Andria Kimpton,Jucies
P18,Manuka Honey Choco,Other,4.75,G5,Australia,18,85.5,476,390.5,3/1/2021 0:00,86,SP02,Dennison Crosswaite,Yummies
P16,Organic Choco Syrup,Other,1.47,G3,Canada,157,230.79,4858,4627.21,3/1/2021 0:00,138,SP14,Dotty Strutley,Delish
P08,99% Dark & Pure,Bars,2.47,G3,Canada,404,997.88,7259,6261.12,3/1/2021 0:00,69,SP09,Andria Kimpton,Jucies
P03,Almond Choco,Bars,9.6,G1,India,311,2985.6,6209,3223.4,3/2/2021 0:00,35,SP08,Ches Bonnell,unkown
P16,Organic Choco Syrup,Other,1.47,G4,New Zealand,539,792.33,12390,11597.67,3/2/2021 0:00,269,SP09,Andria Kimpton,Jucies
P21,Choco Coated Almonds,Bites,6.17,G6,UK,41,252.97,686,433.03,3/2/2021 0:00,103,SP20,Oby Sorrel,Jucies
P01,Milk Bars,Bars,1.52,G4,New Zealand,312,474.24,9030,8555.76,3/2/2021 0:00,563,SP18,Madelene Upcott,Jucies
P03,Almond Choco,Bars,9.6,G3,Canada,256,2457.6,5376,2918.4,3/2/2021 0:00,48,SP14,Dotty Strutley,Delish
P17,Caramel Stuffed Bars,Bars,0.54,G5,Australia,126,68.04,2898,2829.96,3/2/2021 0:00,17,SP24,Roddy Speechley,Delish
P03,Almond Choco,Bars,9.6,G2,USA,945,9072,18900,9828,3/2/2021 0:00,13,SP01,Barr Faughny,Yummies
P11,After Nines,Bites,4.43,G2,USA,182,806.26,5082,4275.74,3/2/2021 0:00,95,SP18,Madelene Upcott,Jucies
P04,Raspberry Choco,Bars,4.09,G5,Australia,107,437.63,2016,1578.37,3/2/2021 0:00,177,SP16,Marney O'Breen,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,50,148.5,847,698.5,3/2/2021 0:00,145,SP10,Brien Boise,Jucies
P15,Baker's Choco Chips,Bars,3.4,G4,New Zealand,350,1190,4200,3010,3/3/2021 0:00,57,SP10,Brien Boise,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G4,New Zealand,977,3487.89,17577,14089.11,3/3/2021 0:00,190,SP03,Gunar Cockshoot,Yummies
P09,Orange Choco,Bars,7.14,G1,India,96,685.44,861,175.56,3/3/2021 0:00,108,SP09,Andria Kimpton,Jucies
P07,Drinking Coco,Other,1.62,G3,Canada,142,230.04,3829,3598.96,3/3/2021 0:00,434,SP03,Gunar Cockshoot,Yummies
P18,Manuka Honey Choco,Other,4.75,G6,UK,37,175.75,1155,979.25,3/3/2021 0:00,238,SP01,Barr Faughny,Yummies
P15,Baker's Choco Chips,Bars,3.4,G5,Australia,1391,4729.4,11123,6393.6,3/3/2021 0:00,189,SP19,Beverie Moffet,Jucies
P15,Baker's Choco Chips,Bars,3.4,G4,New Zealand,532,1808.8,8505,6696.2,3/3/2021 0:00,82,SP22,Jehu Rudeforth,unkown
P07,Drinking Coco,Other,1.62,G2,USA,138,223.56,4130,3906.44,3/3/2021 0:00,152,SP05,Gigi Bohling,Delish
P01,Milk Bars,Bars,1.52,G5,Australia,15,22.8,420,397.2,3/3/2021 0:00,43,SP14,Dotty Strutley,Delish
P06,Eclairs,Bites,2.24,G5,Australia,63,141.12,994,852.88,3/3/2021 0:00,92,SP07,Kaine Padly,Delish
P05,Mint Chip Choco,Bars,1.54,G6,UK,176,271.04,3689,3417.96,3/3/2021 0:00,364,SP13,Jan Morforth,Delish
P06,Eclairs,Bites,2.24,G2,USA,880,1971.2,13195,11223.8,3/3/2021 0:00,124,SP16,Marney O'Breen,Jucies
P16,Organic Choco Syrup,Other,1.47,G5,Australia,219,321.93,6545,6223.07,3/4/2021 0:00,276,SP12,Karlen McCaffrey,Yummies
P07,Drinking Coco,Other,1.62,G2,USA,357,578.34,9982,9403.66,3/4/2021 0:00,399,SP04,Wilone O'Kielt,Delish
P13,85% Dark Bars,Bars,0.64,G6,UK,398,254.72,6363,6108.28,3/4/2021 0:00,95,SP21,Mallorie Waber,unkown
P15,Baker's Choco Chips,Bars,3.4,G5,Australia,1304,4433.6,14336,9902.4,3/4/2021 0:00,50,SP04,Wilone O'Kielt,Delish
P10,Spicy Special Slims,Bites,5.79,G1,India,253,1464.87,7063,5598.13,3/4/2021 0:00,182,SP24,Roddy Speechley,Delish
P11,After Nines,Bites,4.43,G5,Australia,199,881.57,5551,4669.43,3/4/2021 0:00,176,SP17,Rafaelita Blaksland,unkown
P09,Orange Choco,Bars,7.14,G2,USA,38,271.32,448,176.68,3/4/2021 0:00,319,SP05,Gigi Bohling,Delish
P21,Choco Coated Almonds,Bites,6.17,G6,UK,481,2967.77,9121,6153.23,3/5/2021 0:00,66,SP11,Husein Augar,Yummies
P09,Orange Choco,Bars,7.14,G3,Canada,626,4469.64,6258,1788.36,3/5/2021 0:00,277,SP04,Wilone O'Kielt,Delish
P18,Manuka Honey Choco,Other,4.75,G3,Canada,347,1648.25,10752,9103.75,3/5/2021 0:00,111,SP20,Oby Sorrel,Jucies
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,540,345.6,12411,12065.4,3/5/2021 0:00,100,SP08,Ches Bonnell,unkown
P18,Manuka Honey Choco,Other,4.75,G5,Australia,10,47.5,308,260.5,3/5/2021 0:00,74,SP11,Husein Augar,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G2,USA,764,1207.12,10689,9481.88,3/5/2021 0:00,296,SP25,Camilla Castle,Delish
P07,Drinking Coco,Other,1.62,G6,UK,16,25.92,448,422.08,3/5/2021 0:00,98,SP04,Wilone O'Kielt,Delish
P05,Mint Chip Choco,Bars,1.54,G2,USA,260,400.4,4410,4009.6,3/5/2021 0:00,271,SP11,Husein Augar,Yummies
P15,Baker's Choco Chips,Bars,3.4,G6,UK,570,1938,6265,4327,3/8/2021 0:00,501,SP15,Kelci Walkden,Yummies
P21,Choco Coated Almonds,Bites,6.17,G3,Canada,366,2258.22,7301,5042.78,3/8/2021 0:00,116,SP05,Gigi Bohling,Delish
P18,Manuka Honey Choco,Other,4.75,G5,Australia,185,878.75,4802,3923.25,3/8/2021 0:00,330,SP03,Gunar Cockshoot,Yummies
P01,Milk Bars,Bars,1.52,G3,Canada,53,80.56,1358,1277.44,3/8/2021 0:00,99,SP14,Dotty Strutley,Delish
P02,50% Dark Bites,Bites,2.57,G2,USA,147,377.79,1610,1232.21,3/8/2021 0:00,284,SP21,Mallorie Waber,unkown
P22,Peanut Butter Cubes,Bites,3.57,G6,UK,3,10.71,63,52.29,3/8/2021 0:00,106,SP03,Gunar Cockshoot,Yummies
P21,Choco Coated Almonds,Bites,6.17,G4,New Zealand,8,49.36,161,111.64,3/8/2021 0:00,55,SP05,Gigi Bohling,Delish
P03,Almond Choco,Bars,9.6,G3,Canada,70,672,1246,574,3/8/2021 0:00,157,SP02,Dennison Crosswaite,Yummies
P11,After Nines,Bites,4.43,G1,India,3,13.29,49,35.71,3/8/2021 0:00,250,SP15,Kelci Walkden,Yummies
P03,Almond Choco,Bars,9.6,G2,USA,202,1939.2,4032,2092.8,3/8/2021 0:00,150,SP09,Andria Kimpton,Jucies
P09,Orange Choco,Bars,7.14,G3,Canada,181,1292.34,1085,-207.34,3/8/2021 0:00,181,SP18,Madelene Upcott,Jucies
P10,Spicy Special Slims,Bites,5.79,G2,USA,174,1007.46,4347,3339.54,3/8/2021 0:00,135,SP10,Brien Boise,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G5,Australia,322,173.88,7084,6910.12,3/8/2021 0:00,193,SP15,Kelci Walkden,Yummies
P04,Raspberry Choco,Bars,4.09,G3,Canada,300,1227,5383,4156,3/8/2021 0:00,117,SP13,Jan Morforth,Delish
P12,Fruit & Nut Bars,Bars,1.58,G3,Canada,123,194.34,1351,1156.66,3/8/2021 0:00,232,SP06,Curtice Advani,Delish
P19,70% Dark Bites,Bites,4.97,G5,Australia,257,1277.29,3591,2313.71,3/8/2021 0:00,455,SP19,Beverie Moffet,Jucies
P12,Fruit & Nut Bars,Bars,1.58,G3,Canada,154,243.32,1540,1296.68,3/8/2021 0:00,27,SP13,Jan Morforth,Delish
P07,Drinking Coco,Other,1.62,G2,USA,341,552.42,9884,9331.58,3/8/2021 0:00,113,SP22,Jehu Rudeforth,unkown
P13,85% Dark Bars,Bars,0.64,G1,India,554,354.56,9415,9060.44,3/8/2021 0:00,296,SP18,Madelene Upcott,Jucies
P07,Drinking Coco,Other,1.62,G5,Australia,66,106.92,1778,1671.08,3/8/2021 0:00,52,SP02,Dennison Crosswaite,Yummies
P04,Raspberry Choco,Bars,4.09,G3,Canada,370,1513.3,8120,6606.7,3/8/2021 0:00,224,SP17,Rafaelita Blaksland,unkown
P01,Milk Bars,Bars,1.52,G6,UK,95,144.4,2849,2704.6,3/8/2021 0:00,128,SP23,Van Tuxwell,Yummies
P13,85% Dark Bars,Bars,0.64,G5,Australia,115,73.6,2408,2334.4,3/8/2021 0:00,288,SP13,Jan Morforth,Delish
P17,Caramel Stuffed Bars,Bars,0.54,G3,Canada,549,296.46,12075,11778.54,3/8/2021 0:00,265,SP07,Kaine Padly,Delish
P18,Manuka Honey Choco,Other,4.75,G3,Canada,95,451.25,2730,2278.75,3/8/2021 0:00,120,SP06,Curtice Advani,Delish
P04,Raspberry Choco,Bars,4.09,G6,UK,112,458.08,1778,1319.92,3/9/2021 0:00,267,SP19,Beverie Moffet,Jucies
P09,Orange Choco,Bars,7.14,G4,New Zealand,591,4219.74,4725,505.26,3/9/2021 0:00,157,SP18,Madelene Upcott,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,338,1003.86,6405,5401.14,3/9/2021 0:00,40,SP13,Jan Morforth,Delish
P08,99% Dark & Pure,Bars,2.47,G6,UK,122,301.34,2674,2372.66,3/9/2021 0:00,402,SP03,Gunar Cockshoot,Yummies
P08,99% Dark & Pure,Bars,2.47,G1,India,311,768.17,5908,5139.83,3/9/2021 0:00,149,SP24,Roddy Speechley,Delish
P03,Almond Choco,Bars,9.6,G5,Australia,457,4387.2,7301,2913.8,3/9/2021 0:00,39,SP24,Roddy Speechley,Delish
P10,Spicy Special Slims,Bites,5.79,G2,USA,6,34.74,154,119.26,3/9/2021 0:00,101,SP24,Roddy Speechley,Delish
P09,Orange Choco,Bars,7.14,G2,USA,29,207.06,343,135.94,3/9/2021 0:00,103,SP12,Karlen McCaffrey,Yummies
P19,70% Dark Bites,Bites,4.97,G4,New Zealand,1656,8230.32,14903,6672.68,3/9/2021 0:00,136,SP03,Gunar Cockshoot,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G4,New Zealand,318,502.44,5390,4887.56,3/9/2021 0:00,482,SP17,Rafaelita Blaksland,unkown
P03,Almond Choco,Bars,9.6,G5,Australia,27,259.2,553,293.8,3/9/2021 0:00,105,SP09,Andria Kimpton,Jucies
P10,Spicy Special Slims,Bites,5.79,G6,UK,346,2003.34,7266,5262.66,3/9/2021 0:00,70,SP23,Van Tuxwell,Yummies
P05,Mint Chip Choco,Bars,1.54,G4,New Zealand,419,645.26,8792,8146.74,3/9/2021 0:00,32,SP14,Dotty Strutley,Delish
P04,Raspberry Choco,Bars,4.09,G1,India,561,2294.49,8967,6672.51,3/9/2021 0:00,154,SP05,Gigi Bohling,Delish
P13,85% Dark Bars,Bars,0.64,G1,India,167,106.88,3661,3554.12,3/9/2021 0:00,269,SP24,Roddy Speechley,Delish
P19,70% Dark Bites,Bites,4.97,G4,New Zealand,112,556.64,1344,787.36,3/10/2021 0:00,8,SP13,Jan Morforth,Delish
P09,Orange Choco,Bars,7.14,G5,Australia,856,6111.84,10262,4150.16,3/10/2021 0:00,168,SP15,Kelci Walkden,Yummies
P05,Mint Chip Choco,Bars,1.54,G1,India,264,406.56,4480,4073.44,3/10/2021 0:00,128,SP03,Gunar Cockshoot,Yummies
P22,Peanut Butter Cubes,Bites,3.57,G4,New Zealand,300,1071,7784,6713,3/10/2021 0:00,100,SP21,Mallorie Waber,unkown
P17,Caramel Stuffed Bars,Bars,0.54,G2,USA,658,355.32,19054,18698.68,3/10/2021 0:00,178,SP01,Barr Faughny,Yummies
P08,99% Dark & Pure,Bars,2.47,G4,New Zealand,1058,2613.26,23268,20654.74,3/10/2021 0:00,80,SP17,Rafaelita Blaksland,unkown
P06,Eclairs,Bites,2.24,G1,India,195,436.8,3885,3448.2,3/11/2021 0:00,242,SP08,Ches Bonnell,unkown
P06,Eclairs,Bites,2.24,G6,UK,477,1068.48,7147,6078.52,3/11/2021 0:00,225,SP17,Rafaelita Blaksland,unkown
P16,Organic Choco Syrup,Other,1.47,G1,India,164,241.08,4571,4329.92,3/11/2021 0:00,62,SP19,Beverie Moffet,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G5,Australia,614,1823.58,7973,6149.42,3/11/2021 0:00,80,SP23,Van Tuxwell,Yummies
P01,Milk Bars,Bars,1.52,G6,UK,202,307.04,6055,5747.96,3/11/2021 0:00,213,SP07,Kaine Padly,Delish
P03,Almond Choco,Bars,9.6,G4,New Zealand,43,412.8,847,434.2,3/11/2021 0:00,213,SP09,Andria Kimpton,Jucies
P09,Orange Choco,Bars,7.14,G4,New Zealand,702,5012.28,4914,-98.28,3/11/2021 0:00,147,SP08,Ches Bonnell,unkown
P08,99% Dark & Pure,Bars,2.47,G5,Australia,76,187.72,1358,1170.28,3/11/2021 0:00,204,SP02,Dennison Crosswaite,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,50,27,1428,1401,3/11/2021 0:00,387,SP01,Barr Faughny,Yummies
P22,Peanut Butter Cubes,Bites,3.57,G2,USA,439,1567.23,8764,7196.77,3/11/2021 0:00,50,SP14,Dotty Strutley,Delish
P03,Almond Choco,Bars,9.6,G5,Australia,456,4377.6,10472,6094.4,3/11/2021 0:00,107,SP25,Camilla Castle,Delish
P10,Spicy Special Slims,Bites,5.79,G6,UK,70,405.3,1960,1554.7,3/11/2021 0:00,65,SP22,Jehu Rudeforth,unkown
P06,Eclairs,Bites,2.24,G3,Canada,536,1200.64,10171,8970.36,3/11/2021 0:00,69,SP03,Gunar Cockshoot,Yummies
P15,Baker's Choco Chips,Bars,3.4,G3,Canada,551,1873.4,8253,6379.6,3/11/2021 0:00,13,SP04,Wilone O'Kielt,Delish
P16,Organic Choco Syrup,Other,1.47,G1,India,367,539.49,9534,8994.51,3/11/2021 0:00,86,SP01,Barr Faughny,Yummies
P08,99% Dark & Pure,Bars,2.47,G3,Canada,350,864.5,5936,5071.5,3/11/2021 0:00,199,SP19,Beverie Moffet,Jucies
P06,Eclairs,Bites,2.24,G6,UK,8,17.92,154,136.08,3/12/2021 0:00,172,SP01,Barr Faughny,Yummies
P18,Manuka Honey Choco,Other,4.75,G4,New Zealand,196,931,5663,4732,3/12/2021 0:00,155,SP08,Ches Bonnell,unkown
P15,Baker's Choco Chips,Bars,3.4,G6,UK,1256,4270.4,11298,7027.6,3/12/2021 0:00,14,SP09,Andria Kimpton,Jucies
P01,Milk Bars,Bars,1.52,G3,Canada,49,74.48,1309,1234.52,3/12/2021 0:00,237,SP19,Beverie Moffet,Jucies
P06,Eclairs,Bites,2.24,G6,UK,212,474.88,3815,3340.12,3/12/2021 0:00,258,SP03,Gunar Cockshoot,Yummies
P07,Drinking Coco,Other,1.62,G5,Australia,16,25.92,385,359.08,3/12/2021 0:00,227,SP23,Van Tuxwell,Yummies
P22,Peanut Butter Cubes,Bites,3.57,G2,USA,15,53.55,315,261.45,3/12/2021 0:00,232,SP18,Madelene Upcott,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G1,India,657,2345.49,11823,9477.51,3/12/2021 0:00,453,SP06,Curtice Advani,Delish
P07,Drinking Coco,Other,1.62,G5,Australia,108,174.96,2891,2716.04,3/12/2021 0:00,205,SP03,Gunar Cockshoot,Yummies
P05,Mint Chip Choco,Bars,1.54,G6,UK,264,406.56,5278,4871.44,3/12/2021 0:00,54,SP22,Jehu Rudeforth,unkown
P10,Spicy Special Slims,Bites,5.79,G6,UK,335,1939.65,8036,6096.35,3/12/2021 0:00,118,SP20,Oby Sorrel,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G6,UK,128,456.96,2940,2483.04,3/12/2021 0:00,142,SP21,Mallorie Waber,unkown
P22,Peanut Butter Cubes,Bites,3.57,G1,India,333,1188.81,8309,7120.19,3/12/2021 0:00,232,SP02,Dennison Crosswaite,Yummies
P07,Drinking Coco,Other,1.62,G1,India,63,102.06,1820,1717.94,3/12/2021 0:00,18,SP12,Karlen McCaffrey,Yummies
P09,Orange Choco,Bars,7.14,G2,USA,127,906.78,1393,486.22,3/12/2021 0:00,153,SP08,Ches Bonnell,unkown
P18,Manuka Honey Choco,Other,4.75,G4,New Zealand,215,1021.25,6440,5418.75,3/12/2021 0:00,235,SP02,Dennison Crosswaite,Yummies
P16,Organic Choco Syrup,Other,1.47,G6,UK,99,145.53,2275,2129.47,3/12/2021 0:00,359,SP07,Kaine Padly,Delish
P10,Spicy Special Slims,Bites,5.79,G6,UK,180,1042.2,3941,2898.8,3/12/2021 0:00,209,SP01,Barr Faughny,Yummies
P19,70% Dark Bites,Bites,4.97,G6,UK,4,19.88,49,29.12,3/12/2021 0:00,78,SP23,Van Tuxwell,Yummies
P03,Almond Choco,Bars,9.6,G2,USA,168,1612.8,3346,1733.2,3/12/2021 0:00,122,SP18,Madelene Upcott,Jucies
P14,White Choc,Other,0.16,G1,India,511,81.76,4592,4510.24,3/15/2021 0:00,445,SP14,Dotty Strutley,Delish
P12,Fruit & Nut Bars,Bars,1.58,G5,Australia,522,824.76,8862,8037.24,3/15/2021 0:00,152,SP21,Mallorie Waber,unkown
P06,Eclairs,Bites,2.24,G4,New Zealand,640,1433.6,9590,8156.4,3/15/2021 0:00,133,SP22,Jehu Rudeforth,unkown
P13,85% Dark Bars,Bars,0.64,G2,USA,359,229.76,7175,6945.24,3/15/2021 0:00,47,SP04,Wilone O'Kielt,Delish
P10,Spicy Special Slims,Bites,5.79,G1,India,91,526.89,2534,2007.11,3/15/2021 0:00,119,SP11,Husein Augar,Yummies
P06,Eclairs,Bites,2.24,G1,India,62,138.88,1162,1023.12,3/15/2021 0:00,3,SP02,Dennison Crosswaite,Yummies
P05,Mint Chip Choco,Bars,1.54,G3,Canada,470,723.8,7042,6318.2,3/15/2021 0:00,173,SP10,Brien Boise,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G1,India,493,1464.21,7392,5927.79,3/15/2021 0:00,111,SP06,Curtice Advani,Delish
P05,Mint Chip Choco,Bars,1.54,G3,Canada,20,30.8,371,340.2,3/15/2021 0:00,191,SP24,Roddy Speechley,Delish
P06,Eclairs,Bites,2.24,G4,New Zealand,368,824.32,7728,6903.68,3/16/2021 0:00,151,SP23,Van Tuxwell,Yummies
P18,Manuka Honey Choco,Other,4.75,G5,Australia,21,99.75,518,418.25,3/16/2021 0:00,223,SP20,Oby Sorrel,Jucies
P07,Drinking Coco,Other,1.62,G1,India,317,513.54,8547,8033.46,3/16/2021 0:00,112,SP08,Ches Bonnell,unkown
P05,Mint Chip Choco,Bars,1.54,G5,Australia,192,295.68,4018,3722.32,3/16/2021 0:00,34,SP15,Kelci Walkden,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G4,New Zealand,266,143.64,6118,5974.36,3/16/2021 0:00,203,SP21,Mallorie Waber,unkown
P11,After Nines,Bites,4.43,G4,New Zealand,55,243.65,1582,1338.35,3/16/2021 0:00,119,SP12,Karlen McCaffrey,Yummies
P13,85% Dark Bars,Bars,0.64,G4,New Zealand,214,136.96,3626,3489.04,3/16/2021 0:00,309,SP23,Van Tuxwell,Yummies
P11,After Nines,Bites,4.43,G3,Canada,360,1594.8,8981,7386.2,3/16/2021 0:00,152,SP18,Madelene Upcott,Jucies
P19,70% Dark Bites,Bites,4.97,G2,USA,255,1267.35,3304,2036.65,3/16/2021 0:00,306,SP08,Ches Bonnell,unkown
P11,After Nines,Bites,4.43,G6,UK,196,868.28,6076,5207.72,3/16/2021 0:00,74,SP03,Gunar Cockshoot,Yummies
P15,Baker's Choco Chips,Bars,3.4,G1,India,964,3277.6,12530,9252.4,3/16/2021 0:00,134,SP04,Wilone O'Kielt,Delish
P20,Smooth Sliky Salty,Bars,2.97,G2,USA,283,840.51,3675,2834.49,3/16/2021 0:00,273,SP02,Dennison Crosswaite,Yummies
P04,Raspberry Choco,Bars,4.09,G6,UK,28,114.52,434,319.48,3/16/2021 0:00,152,SP15,Kelci Walkden,Yummies
P20,Smooth Sliky Salty,Bars,2.97,G1,India,307,911.79,5509,4597.21,3/16/2021 0:00,16,SP10,Brien Boise,Jucies
P21,Choco Coated Almonds,Bites,6.17,G1,India,517,3189.89,10843,7653.11,3/16/2021 0:00,228,SP01,Barr Faughny,Yummies
P09,Orange Choco,Bars,7.14,G3,Canada,587,4191.18,7623,3431.82,3/16/2021 0:00,88,SP01,Barr Faughny,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G3,Canada,636,1004.88,7623,6618.12,3/16/2021 0:00,152,SP01,Barr Faughny,Yummies
P10,Spicy Special Slims,Bites,5.79,G3,Canada,313,1812.27,6573,4760.73,3/17/2021 0:00,185,SP01,Barr Faughny,Yummies
P14,White Choc,Other,0.16,G1,India,149,23.84,2520,2496.16,3/17/2021 0:00,95,SP05,Gigi Bohling,Delish
P21,Choco Coated Almonds,Bites,6.17,G1,India,54,333.18,910,576.82,3/17/2021 0:00,14,SP04,Wilone O'Kielt,Delish
P19,70% Dark Bites,Bites,4.97,G2,USA,416,2067.52,5397,3329.48,3/17/2021 0:00,8,SP24,Roddy Speechley,Delish
P16,Organic Choco Syrup,Other,1.47,G3,Canada,158,232.26,4263,4030.74,3/17/2021 0:00,464,SP16,Marney O'Breen,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G6,UK,273,147.42,7637,7489.58,3/17/2021 0:00,114,SP19,Beverie Moffet,Jucies
P13,85% Dark Bars,Bars,0.64,G3,Canada,953,609.92,15239,14629.08,3/17/2021 0:00,156,SP11,Husein Augar,Yummies
P08,99% Dark & Pure,Bars,2.47,G2,USA,392,968.24,7840,6871.76,3/17/2021 0:00,81,SP23,Van Tuxwell,Yummies
P18,Manuka Honey Choco,Other,4.75,G3,Canada,51,242.25,1302,1059.75,3/17/2021 0:00,298,SP16,Marney O'Breen,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G2,USA,128,69.12,3192,3122.88,3/17/2021 0:00,459,SP16,Marney O'Breen,Jucies
P16,Organic Choco Syrup,Other,1.47,G4,New Zealand,188,276.36,4312,4035.64,3/17/2021 0:00,79,SP23,Van Tuxwell,Yummies
P16,Organic Choco Syrup,Other,1.47,G2,USA,224,329.28,6258,5928.72,3/17/2021 0:00,49,SP18,Madelene Upcott,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G2,USA,418,1492.26,7931,6438.74,3/17/2021 0:00,257,SP05,Gigi Bohling,Delish
P22,Peanut Butter Cubes,Bites,3.57,G3,Canada,129,460.53,2576,2115.47,3/17/2021 0:00,67,SP19,Beverie Moffet,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G1,India,22,11.88,623,611.12,3/17/2021 0:00,224,SP03,Gunar Cockshoot,Yummies
P17,Caramel Stuffed Bars,Bars,0.54,G6,UK,292,157.68,7567,7409.32,3/17/2021 0:00,254,SP20,Oby Sorrel,Jucies
P22,Peanut Butter Cubes,Bites,3.57,G1,India,266,949.62,6363,5413.38,3/18/2021 0:00,179,SP13,Jan Morforth,Delish
P22,Peanut Butter Cubes,Bites,3.57,G3,Canada,75,267.75,1645,1377.25,3/18/2021 0:00,97,SP02,Dennison Crosswaite,Yummies
P19,70% Dark Bites,Bites,4.97,G3,Canada,980,4870.6,12740,7869.4,3/18/2021 0:00,72,SP25,Camilla Castle,Delish
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,483,1434.51,6755,5320.49,3/18/2021 0:00,504,SP12,Karlen McCaffrey,Yummies
P12,Fruit & Nut Bars,Bars,1.58,G1,India,833,1316.14,13321,12004.86,3/18/2021 0:00,119,SP15,Kelci Walkden,Yummies
P21,Choco Coated Almonds,Bites,6.17,G5,Australia,57,351.69,1078,726.31,3/18/2021 0:00,41,SP09,Andria Kimpton,Jucies
P08,99% Dark & Pure,Bars,2.47,G3,Canada,624,1541.28,13104,11562.72,3/18/2021 0:00,77,SP14,Dotty Strutley,Delish
P18,Manuka Honey Choco,Other,4.75,G3,Canada,366,1738.5,10241,8502.5,3/18/2021 0:00,74,SP07,Kaine Padly,Delish
P13,85% Dark Bars,Bars,0.64,G6,UK,112,71.68,1904,1832.32,3/19/2021 0:00,316,SP19,Beverie Moffet,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G3,Canada,217,644.49,4116,3471.51,3/19/2021 0:00,89,SP15,Kelci Walkden,Yummies
P10,Spicy Special Slims,Bites,5.79,G3,Canada,55,318.45,1302,983.55,3/19/2021 0:00,24,SP09,Andria Kimpton,Jucies
P10,Spicy Special Slims,Bites,5.79,G3,Canada,210,1215.9,4606,3390.1,3/19/2021 0:00,186,SP03,Gunar Cockshoot,Yummies
P06,Eclairs,Bites,2.24,G1,India,569,1274.56,8526,7251.44,3/19/2021 0:00,153,SP25,Camilla Castle,Delish
P17,Caramel Stuffed Bars,Bars,0.54,G3,Canada,577,311.58,13832,13520.42,3/22/2021 0:00,187,SP19,Beverie Moffet,Jucies
P17,Caramel Stuffed Bars,Bars,0.54,G6,UK,392,211.68,10962,10750.32,3/22/2021 0:00,24,SP03,Gunar Cockshoot,Yummies
P05,Mint Chip Choco,Bars,1.54,G1,India,317,488.18,5383,4894.82,3/22/2021 0:00,212,SP04,Wilone O'Kielt,Delish
P15,Baker's Choco Chips,Bars,3.4,G5,Australia,179,608.6,2856,2247.4,3/22/2021 0:00,138,SP25,Camilla Castle,Delish
P16,Organic Choco Syrup,Other,1.47,G2,USA,96,141.12,2954,2812.88,3/22/2021 0:00,143,SP19,Beverie Moffet,Jucies
P10,Spicy Special Slims,Bites,5.79,G2,USA,600,3474,14385,10911,3/22/2021 0:00,230,SP05,Gigi Bohling,Delish
P06,Eclairs,Bites,2.24,G6,UK,647,1449.28,10346,8896.72,3/22/2021 0:00,88,SP10,Brien Boise,Jucies
P20,Smooth Sliky Salty,Bars,2.97,G1,India,83,246.51,1568,1321.49,3/22/2021 0:00,199,SP24,Roddy Speechley,Delish
P16,Organic Choco Syrup,Other,1.47,G6,UK,148,217.56,3682,3464.44,3/22/2021 0:00,152,SP11,Husein Augar,Yummies
